TimePeriod,GeoType,GeoID,GeoRank,Geography,"Age-adjusted rate per 10,000","Estimated annual rate per 10,000",Number
2023,UHF42,302,4,Central Harlem - Morningside Heights,12.2,12.0,177
2023,UHF42,303,4,East Harlem,12.5,12.8,114
2023,UHF42,304,4,Upper West Side,4.2,4.4,85
2023,UHF42,305,4,Upper East Side,1.5,1.7,31
2023,UHF42,306,4,Chelsea - Clinton,2.6,2.5,36
2023,UHF42,307,4,Gramercy Park - Murray Hill,2.8,2.5,31
2023,UHF42,308,4,Greenwich Village - SoHo,1.0*,1.1*,8*
2023,UHF42,309,4,Union Square - Lower East Side,6.1,6.3,104
2023,UHF42,310,4,Lower Manhattan,2.8,2.4,13
2023,UHF42,401,4,Long Island City - Astoria,5.8,6.0,101
2023,UHF42,402,4,West Queens,4.9,5.2,185
2023,UHF42,403,4,Flushing - Clearview,3.6,3.8,80
2023,UHF42,404,4,Bayside - Little Neck,4.0,4.1,30
2023,UHF42,405,4,Ridgewood - Forest Hills,3.7,3.9,81
2023,UHF42,406,4,Fresh Meadows,3.5,3.7,29
2023,UHF42,407,4,Southwest Queens,6.4,6.6,141
2023,UHF42,408,4,Jamaica,8.5,9.0,228
2023,UHF42,409,4,Southeast Queens,6.1,6.5,112
2023,UHF42,410,4,Rockaways,8.6,8.9,88
2023,UHF42,501,4,Port Richmond,12.7,12.7,68
2023,UHF42,502,4,Stapleton - St. George,9.6,10.4,106
2023,UHF42,503,4,Willowbrook,4.9,5.4,41
2023,UHF42,504,4,South Beach - Tottenville,3.5,3.7,57
2023,Borough,1,1,Bronx,18.3,18.8,"1,947"
2023,Borough,2,1,Brooklyn,6.6,6.7,"1,355"
2023,Borough,3,1,Manhattan,5.4,5.5,757
2023,Borough,4,1,Queens,6.1,6.4,"1,163"
2023,Borough,5,1,Staten Island,6.8,7.1,276
2023,Citywide,1,0,New York City,8.0,8.3,"5,498"
2022,CD,101,6,Financial District (CD1),2.1*,1.6*,8*
2022,CD,102,6,Greenwich Village and Soho (CD2),0.8*,0.9*,7*
2022,CD,103,6,Lower East Side and Chinatown (CD3),5.5,5.6,82
2022,CD,104,6,Clinton and Chelsea (CD4),3.1,3.0,38
2022,CD,105,6,Midtown (CD5),1.5*,1.3*,7*
2022,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),2.0,2.0,25
2022,CD,107,6,Upper West Side (CD7),4.4,3.9,69
2022,CD,108,6,Upper East Side (CD8),1.2,1.3,24
2022,CD,109,6,Morningside Heights and Hamilton Heights (CD9),9.1,8.6,75
2022,CD,110,6,Central Harlem (CD10),14.1,13.9,125
2022,CD,111,6,East Harlem (CD11),12.1,12.5,117
2022,CD,112,6,Washington Heights and Inwood (CD12),6.6,6.7,100
2022,CD,201,6,Mott Haven and Melrose (CD1),31.8,32.0,218
2022,CD,202,6,Hunts Point and Longwood (CD2),20.3,20.3,79
2022,CD,203,6,Morrisania and Crotona (CD3),22.1,22.0,137
2022,CD,204,6,Highbridge and Concourse (CD4),15.3,15.2,168
2022,CD,205,6,Fordham and University Heights (CD5),18.8,18.5,174
2022,CD,206,6,Belmont and East Tremont (CD6),23.6,23.2,138
2022,CD,207,6,Kingsbridge Heights and Bedford (CD7),13.7,13.6,143
2022,CD,208,6,Riverdale and Fieldston (CD8),6.5,7.2,57
2022,CD,209,6,Parkchester and Soundview (CD9),15.1,15.6,213
2022,CD,210,6,Throgs Neck and Co-op City (CD10),8.5,9.3,88
2022,CD,211,6,Morris Park and Bronxdale (CD11),15.8,16.5,143
2022,CD,212,6,Williamsbridge and Baychester (CD12),16.6,17.1,200
2022,CD,301,6,Greenpoint and Williamsburg (CD1),6.1,5.3,80
2022,CD,302,6,Fort Greene and Brooklyn Heights (CD2),5.7,5.3,60
2022,CD,303,6,Bedford Stuyvesant (CD3),10.9,10.7,120
2022,CD,304,6,Bushwick (CD4),8.9,8.5,71
2022,CD,305,6,East New York and Starrett City (CD5),9.3,9.6,124
2022,CD,306,6,Park Slope and Carroll Gardens (CD6),5.8,5.0,45
2022,CD,307,6,Sunset Park (CD7),3.4,3.3,34
2022,CD,308,6,Crown Heights and Prospect Heights (CD8),7.8,7.9,60
2022,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),6.6,6.9,53
2022,CD,310,6,Bay Ridge and Dyker Heights (CD10),1.7,1.8,21
2022,CD,311,6,Bensonhurst (CD11),1.4,1.4,23
2022,CD,312,6,Borough Park (CD12),2.3,2.3,30
2022,CD,313,6,Coney Island (CD13),8.3,8.4,75
2022,CD,314,6,Flatbush and Midwood (CD14),4.3,4.4,54
2022,CD,315,6,Sheepshead Bay (CD15),1.5,1.7,24
2022,CD,316,6,Brownsville (CD16),16.7,16.5,98
2022,CD,317,6,East Flatbush (CD17),8.3,8.5,103
2022,CD,318,6,Flatlands and Canarsie (CD18),6.3,6.3,92
2022,CD,401,6,Long Island City and Astoria (CD1),4.2,4.2,66
2022,CD,402,6,Woodside and Sunnyside (CD2),2.7,2.7,34
2022,CD,403,6,Jackson Heights (CD3),3.3,3.4,46
2022,CD,404,6,Elmhurst and Corona (CD4),3.3,3.5,51
2022,CD,405,6,Ridgewood and Maspeth (CD5),4.0,3.9,48
2022,CD,406,6,Rego Park and Forest Hills (CD6),2.0,2.1,20
2022,CD,407,6,Flushing and Whitestone (CD7),2.7,2.7,59
2022,CD,408,6,Hillcrest and Fresh Meadows (CD8),6.4,6.9,84
2022,CD,409,6,Kew Gardens and Woodhaven (CD9),4.3,4.3,48
2022,CD,410,6,South Ozone Park and Howard Beach (CD10),4.7,5.1,49
2022,CD,411,6,Bayside and Little Neck (CD11),2.2,2.5,24
2022,CD,412,6,Jamaica and Hollis (CD12),9.1,9.6,172
