TimePeriod,GeoType,GeoID,GeoRank,Geography,"Average annual rate per 10,000",Number
2014-2016,NTA2010,4730,9,Dyker Heights,48.9,47
2014-2016,NTA2010,4731,9,Bay Ridge,50.9,83
2014-2016,NTA2010,4732,9,Sunset Park West,117.5,156
2014-2016,NTA2010,4733,9,Carroll Gardens-Columbia Street-Red Hook,121.6,120
2014-2016,NTA2010,4734,9,Sunset Park East,55.8,117
2014-2016,NTA2010,4735,9,Stuyvesant Heights,473.9,628
2014-2016,NTA2010,4737,9,Park Slope-Gowanus,66.3,115
2014-2016,NTA2010,4738,9,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,151.0,150
2014-2016,NTA2010,4740,9,Windsor Terrace,47.2,25
2014-2016,NTA2010,4741,9,Kensington-Ocean Parkway,97.0,90
2014-2016,NTA2010,4742,9,Flatbush,209.4,506
2014-2016,NTA2010,4743,9,Midwood,34.4,46
2014-2016,NTA2010,4744,9,Madison,39.4,32
2014-2016,NTA2010,4745,9,Georgetown-Marine Park-Bergen Beach-Mill Basin,48.0,50
2014-2016,NTA2010,4746,9,Ocean Parkway South,57.8,40
2014-2016,NTA2010,4750,9,Canarsie,337.2,516
2014-2016,NTA2010,4758,9,Flatlands,181.2,240
2014-2016,NTA2010,4760,9,Prospect Lefferts Gardens-Wingate,271.3,369
2014-2016,NTA2010,4761,9,Crown Heights North,451.0,933
2014-2016,NTA2010,4763,9,Crown Heights South,224.3,219
2014-2016,NTA2010,4764,9,Prospect Heights,108.8,51
2014-2016,NTA2010,4768,9,Fort Greene,277.9,168
2014-2016,NTA2010,4769,9,Clinton Hill,127.0,98
2014-2016,NTA2010,4772,9,Williamsburg,39.4,72
2014-2016,NTA2010,4773,9,North Side-South Side,128.4,148
2014-2016,NTA2010,4775,9,Bedford,234.4,541
2014-2016,NTA2010,4776,9,Greenpoint,73.7,28
2014-2016,NTA2010,4777,9,Bushwick North,310.8,444
2014-2016,NTA2010,4778,9,Bushwick South,511.2,766
2014-2016,NTA2010,4779,9,Ocean Hill,452.7,348
2014-2016,NTA2010,4781,9,Brownsville,687.6,966
2014-2016,NTA2010,4782,9,East New York,516.2,"1,076"
2014-2016,NTA2010,4783,9,Cypress Hills-City Line,359.5,410
2014-2016,NTA2010,4785,9,East New York (Pennsylvania Ave),378.0,278
2014-2016,NTA2010,4788,9,Borough Park,33.8,163
2014-2016,NTA2010,4790,9,East Williamsburg,277.6,121
2014-2016,NTA2010,4791,9,East Flatbush-Farragut,380.0,323
2014-2016,NTA2010,4793,9,Starrett City,431.4,78
2014-2016,NTA2010,4795,9,Erasmus,431.0,243
2014-2016,NTA2010,4796,9,Rugby-Remsen Village,455.7,460
2014-2016,NTA2010,6101,9,Marble Hill-Inwood,237.4,236
2014-2016,NTA2010,6103,9,Central Harlem North-Polo Grounds,643.4,"1,068"
2014-2016,NTA2010,6104,9,Hamilton Heights,321.9,285
2014-2016,NTA2010,6106,9,Manhattanville,343.3,146
2014-2016,NTA2010,6109,9,Morningside Heights,341.0,215
2014-2016,NTA2010,6111,9,Central Harlem South,433.0,397
2014-2016,NTA2010,6112,9,Upper West Side,144.6,320
2014-2016,NTA2010,6113,9,Hudson Yards-Chelsea-Flatiron-Union Square,104.7,95
2014-2016,NTA2010,6114,9,Lincoln Square,59.9,67
2014-2016,NTA2010,6115,9,Clinton,97.5,42
2014-2016,NTA2010,6117,9,Midtown-Midtown South,76.1,20
2014-2016,NTA2010,6119,9,Turtle Bay-East Midtown,53.3,30
2014-2016,NTA2010,6120,9,Murray Hill-Kips Bay,56.8,26
2014-2016,NTA2010,6121,9,Gramercy,42.9*,9*
2014-2016,NTA2010,6122,9,East Village,213.9,54
2014-2016,NTA2010,6123,9,West Village,30.1,20
2014-2016,NTA2010,6124,9,SoHo-TriBeCa-Civic Center-Little Italy,49.3,40
2014-2016,NTA2010,6125,9,Battery Park City-Lower Manhattan,40.6,35
2014-2016,NTA2010,6127,9,Chinatown,172.0,100
2014-2016,NTA2010,6128,9,Lower East Side,423.6,481
2014-2016,NTA2010,6131,9,Lenox Hill-Roosevelt Island,43.1,58
2014-2016,NTA2010,6132,9,Yorkville,80.9,98
2014-2016,NTA2010,6133,9,East Harlem South,618.6,642
2014-2016,NTA2010,6134,9,East Harlem North,732.1,889
2014-2016,NTA2010,6135,9,Washington Heights North,200.7,260
2014-2016,NTA2010,6136,9,Washington Heights South,286.3,436
2014-2016,NTA2010,6140,9,Upper East Side-Carnegie Hill,34.4,32
2014-2016,NTA2010,6150,9,Stuyvesant Town-Cooper Village,35.9*,9*
2014-2016,NTA2010,8101,9,South Jamaica,517.6,424
